model,defense,family,source,benign_utility_pct,attack_utility_pct,asr_pct
gemini-2.5-flash,repeat_user_prompt,Prevention,published,16.67,14.33,18.22
gemini-2.5-flash,spotlighting_with_delimiting,Prevention,published,13.33,12.5,17.74
gemini-2.5-flash,tool_filter,System-level,published,0,0,0
gemini-2.5-flash,transformers_pi_detector,Detection,published,1.67,0.19,1.04
gemini-2.5-pro,camel,System-level,published,0,0,0
gemini-2.5-pro,drift,System-level,published,36.67,33.04,1.09
gemini-2.5-pro,none,No defense,published,51.67,56.95,20.61
gemini-2.5-pro,piguard_detector,Detection,published,11.67,2.17,1.83
gemini-2.5-pro,progent,System-level,published,25,16.06,1.59
gemini-2.5-pro,prompt_guard_2_detector,Detection,published,58.33,17.18,14.5
gemini-2.5-pro,repeat_user_prompt,Prevention,published,51.67,49.08,23.94
gemini-2.5-pro,spotlighting_with_delimiting,Prevention,published,58.33,52.61,16.87
gemini-2.5-pro,tool_filter,System-level,published,1.67,0.93,0
gemini-2.5-pro,transformers_pi_detector,Detection,published,1.67,0.74,0.6899999999999999
gpt-4o,camel,System-level,published,0,0,0
gpt-4o,drift,System-level,published,30,27.09,0.83
gpt-4o,none,No defense,published,53.33,55.52,37.8
gpt-4o,piguard_detector,Detection,published,10,1.46,1.67
gpt-4o,progent,System-level,published,6.67,5.83,1.69
gpt-4o,prompt_guard_2_detector,Detection,published,60,20.8,27.15
gpt-4o,repeat_user_prompt,Prevention,published,63.33,56.13,31.17
gpt-4o,spotlighting_with_delimiting,Prevention,published,55,52.24,27.61
gpt-4o,tool_filter,System-level,published,8.33,4.91,4.22
gpt-4o,transformers_pi_detector,Detection,published,0,0.5600000000000001,0.85
gpt-4o-mini,camel,System-level,published,0,0,0
gpt-4o-mini,drift,System-level,published,18.33,19.31,3.39
gpt-4o-mini,none,No defense,published,46.67,35.69,50
gpt-4o-mini,piguard_detector,Detection,published,16.67,3.26,1.33
gpt-4o-mini,progent,System-level,published,6.67,3.83,10.33
gpt-4o-mini,prompt_guard_2_detector,Detection,published,30,13.7,28.54
gpt-4o-mini,repeat_user_prompt,Prevention,published,43.33,37.78,33.8
gpt-4o-mini,spotlighting_with_delimiting,Prevention,published,38.33,35.78,47.33
gpt-4o-mini,tool_filter,System-level,published,6.67,4.8,6.15
gpt-4o-mini,transformers_pi_detector,Detection,published,1.67,0.93,1.37
gpt-5-mini,camel,System-level,published,0,0,0
gpt-5-mini,drift,System-level,published,10,17.17,0
gpt-5-mini,none,No defense,published,65,64.76000000000001,0.37
gpt-5-mini,piguard_detector,Detection,published,18.33,7.35,0
gpt-5-mini,progent,System-level,published,23.33,17.63,0
gpt-5-mini,prompt_guard_2_detector,Detection,published,65,33.92,0
gpt-5-mini,repeat_user_prompt,Prevention,published,73.33,65.22,0.37
gpt-5-mini,spotlighting_with_delimiting,Prevention,published,68.33,61.13,0.5600000000000001
gpt-5-mini,tool_filter,System-level,published,0,0,0
gpt-5-mini,transformers_pi_detector,Detection,published,1.67,0.93,0
gpt-5.1,camel,System-level,published,0,0,0
gpt-5.1,drift,System-level,published,1.67,6.12,0
gpt-5.1,none,No defense,published,61.67,50.04,4.96
gpt-5.1,piguard_detector,Detection,published,11.67,2.72,1.17
gpt-5.1,progent,System-level,published,15,14.98,1.22
gpt-5.1,prompt_guard_2_detector,Detection,published,55,22.26,3.71
gpt-5.1,repeat_user_prompt,Prevention,published,58.33,53.78,1.2
gpt-5.1,spotlighting_with_delimiting,Prevention,published,56.67,50.06,3.43
gpt-5.1,tool_filter,System-level,published,1.67,3.67,0
gpt-5.1,transformers_pi_detector,Detection,published,1.67,0.5600000000000001,0
kimi-k2.5,camel,System-level,published,0,0,0
kimi-k2.5,drift,System-level,published,20,22.44,0
kimi-k2.5,none,No defense,published,71.67,54.17,11.65
kimi-k2.5,piguard_detector,Detection,published,8.33,4.57,0.83
kimi-k2.5,progent,System-level,published,28.33,26.35,0.19
kimi-k2.5,prompt_guard_2_detector,Detection,published,48.33,30.15,5.24
kimi-k2.5,repeat_user_prompt,Prevention,published,56.67,54.13,5.43
kimi-k2.5,spotlighting_with_delimiting,Prevention,published,36.67,53.5,5.68
kimi-k2.5,tool_filter,System-level,published,0,2,0
kimi-k2.5,transformers_pi_detector,Detection,published,1.67,0.37,0
llama-3.3-70b,camel,System-level,published,0,0,0
llama-3.3-70b,drift,System-level,published,11.67,8.960000000000001,5.89
llama-3.3-70b,none,No defense,published,10,6.15,11.91
llama-3.3-70b,piguard_detector,Detection,published,3.33,0,0.67
llama-3.3-70b,progent,System-level,published,3.33,2.28,0.52
llama-3.3-70b,prompt_guard_2_detector,Detection,published,8.33,6.44,11.07
llama-3.3-70b,repeat_user_prompt,Prevention,published,5,7.35,9.960000000000001
llama-3.3-70b,spotlighting_with_delimiting,Prevention,published,10,6.78,14.85
llama-3.3-70b,tool_filter,System-level,published,5,4.65,2.52
llama-3.3-70b,transformers_pi_detector,Detection,published,1.67,1.11,0.5600000000000001
qwen3-235b,camel,System-level,published,0,0,0
qwen3-235b,drift,System-level,published,36.67,33.19,9.07
qwen3-235b,none,No defense,published,23.33,10.74,22.67
qwen3-235b,piguard_detector,Detection,published,1.67,0.7,1.83
qwen3-235b,progent,System-level,published,8.33,2.19,13.59
qwen3-235b,prompt_guard_2_detector,Detection,published,15,10.5,22
qwen3-235b,repeat_user_prompt,Prevention,published,16.67,14.82,25.7
qwen3-235b,spotlighting_with_delimiting,Prevention,published,20,13.02,27.72
qwen3-235b,tool_filter,System-level,published,0,0.33,0.33
qwen3-235b,transformers_pi_detector,Detection,published,0,0.74,1.07
qwen3-coder,camel,System-level,published,0,0,0
qwen3-coder,drift,System-level,published,20,19.98,0.6899999999999999
qwen3-coder,none,No defense,published,18.33,15.76,14.61
qwen3-coder,piguard_detector,Detection,published,6.67,0.52,1.67
qwen3-coder,progent,System-level,published,11.67,8.33,11.22
qwen3-coder,prompt_guard_2_detector,Detection,published,23.33,8.130000000000001,12.17
qwen3-coder,repeat_user_prompt,Prevention,published,23.33,16.63,17.7
qwen3-coder,spotlighting_with_delimiting,Prevention,published,16.67,16.15,13.28
qwen3-coder,tool_filter,System-level,published,5,4.13,3.13
qwen3-coder,transformers_pi_detector,Detection,published,1.67,0.74,0.89
